İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
136321-1,31-03-2023,None,None,2 + 1,                          120 m2                        ,Giriş Katı,20 Yaşında,Kombi,3 Katlı,Eşyalı,1,Taş Bina,İkinci El,Boş,100 TL,25.000 TL,Doğalgaz,Evet,25.000TL,,,,,
50569-5007,30-03-2023,None,None,2 + 1,                          85 m2                        ,3. Kat,32 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,,Doğalgaz,Evet,15.000TL,,,,,
136926-9,30-03-2023,None,None,3 + 1,                          147 m2                        ,17. Kat,7 Yaşında,Merkezi,29 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1 TL,4.000 TL,Doğalgaz,Evet,36.000TL,Güney,Emlak Konut Başakşehir Evleri,,,
136567-14,01-04-2023,None,None,3 + 1,                          180 m2                        ,14. Kat,Sıfır Bina,Yerden Isıtma,17 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,60.000 TL,Doğalgaz,Evet,30.000TL,"Güney, Doğu, Batı",Evet (Site Adı Belirtilmemiş),,,
6712-1381,01-04-2023,None,None,1 + 1,                          110 m2                        ,5. Kat,40 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,23.000 TL,Doğalgaz,Evet,23.000TL,Doğu,,,,
106678-933,01-04-2023,None,None,3 + 1,                          180 m2                        ,1. Kat,28 Yaşında,Kombi,12 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,600 TL,,Doğalgaz,Evet,19.000TL,"Kuzey, Doğu",Jetkent 1 Sitesi,,,
115162-310,01-04-2023,None,None,3 + 1,                          150 m2                        ,5. Kat,15 Yaşında,Kombi,10 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,2 TL,,,12.000TL,"Kuzey, Güney, Doğu, Batı",,,,
52328-337,01-04-2023,None,None,3 + 1,                          175 m2                        ,4. Kat,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,10.000TL,Güney,,,,
128054-180,01-04-2023,None,None,2 + 1,                          120 m2                        ,2. Kat,22 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,22.000 TL,Doğalgaz,Evet,10.000TL,Güney,,,,
15308-821,01-04-2023,None,None,2 + 1,                          90 m2                        ,3. Kat,40 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,25.000TL,,,,,
3568-7802,01-04-2023,None,None,1 + 0,                          54 m2                        ,5. Kat,4 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,477 TL,16.800 TL,Doğalgaz,Evet,8.400TL,,,,,
129657-234,01-04-2023,None,None,3 + 1,                          150 m2                        ,4. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,İkinci El,Boş,60 TL,8.500 TL,Doğalgaz,Evet,8.500TL,"Doğu, Batı",,,,
46572-10034,27-03-2023,None,None,3 + 2,                          80 m2                        ,Bahçe Katı,2 Yaşında,Kombi,4 Katlı,,1,,,,,,,,20.000TL,,,,,
137017-3,31-03-2023,None,None,3 + 1,                          120 m2                        ,1. Kat,30 Yaşında,Merkezi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,270 TL,28.000 TL,Doğalgaz,Evet,14.000TL,Güney,,,,
0-40559935,31-03-2023,None,None,1 + 0,                          40 m2                        ,Ara Kat,10 Yaşında,Merkezi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,7.000TL,Doğu,,,,
136982-4,31-03-2023,None,None,2 + 1,                          85 m2                        ,7. Kat,5 Yaşında,Kombi,23 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,13.000 TL,,Evet,13.000TL,,,,,
135932-30,30-03-2023,None,None,2 + 1,                          100 m2                        ,Ara Kat,22 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,6.250TL,,,,,
7417-5026,31-03-2023,None,None,3 + 1,                          140 m2                        ,4. Kat,30 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,250 TL,16.000 TL,Doğalgaz,,15.750TL,Güney,,,,
134555-37,25-03-2023,None,None,3 + 1,                          160 m2                        ,Ara Kat,24 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,,İkinci El,Boş,200 TL,22.000 TL,Doğalgaz,Evet,11.000TL,"Kuzey, Güney",,,,
110767-162,30-03-2023,None,None,2 + 1,                          85 m2                        ,Giriş Katı,25 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,14.000 TL,Doğalgaz,Evet,11.000TL,Doğu,Yonca Sitesi,,,
2312-23070,31-03-2023,None,None,1 + 1,                          60 m2                        ,Yüksek Giriş,11 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,750 TL,20.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Doğu",,,,
2608-4275,28-03-2023,None,None,7 + 1,                          320 m2                        ,4. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,,Mülk Sahibi,1.500 TL,473.800 TL,Doğalgaz,,94.760TL,"Güney, Doğu, Batı",,,,
3448-14118,30-03-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,30 Yaşında,Merkezi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,38.000 TL,Doğalgaz,Evet,19.000TL,,,,,
136926-3,29-03-2023,None,None,3 + 1,                          160 m2                        ,17. Kat,7 Yaşında,Merkezi (Pay Ölçer),29 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,1 TL,7.000 TL,Doğalgaz,Evet,36.000TL,"Kuzey, Güney",Adım İstanbul Rezidans,,,
121490-245,25-03-2023,None,None,2 + 1,                          110 m2                        ,Bahçe Katı,4 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,,,Boş,50 TL,,,,5.000TL,,,,,
2312-23252,30-03-2023,None,None,2 + 1,                          80 m2                        ,2. Kat,24 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Doğu, Batı",,,,
2312-23250,27-03-2023,None,None,2 + 1,                          75 m2                        ,3. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,200 TL,15.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Doğu",,,,
2312-23253,28-03-2023,None,None,2 + 1,                          180 m2                        ,Yüksek Giriş,15 Yaşında,Merkezi,2 Katlı,Eşyalı Değil,1,Ahşap,İkinci El,Boş,,60.000 TL,Doğalgaz,Evet,60.000TL,Güney,,,,
2312-23200,01-04-2023,None,None,3 + 1,                          180 m2                        ,3. Kat,3 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,,,Boş,,,,,40.000TL,Güney,,Uygun değil,,
135414-10,30-03-2023,None,None,2 + 1,                          135 m2                        ,1. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,20.000TL,"Güney, Doğu",,,,
53471-272,30-03-2023,None,None,2 + 1,                          100 m2                        ,4. Kat,26 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,150 TL,25.000 TL,Doğalgaz,Evet,17.500TL,"Güney, Doğu, Batı",,,,
74348-5327,28-03-2023,None,None,4 + 1,                          189 m2                        ,1. Kat,38 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,,Boş,,,Doğalgaz,Evet,35.000TL,Güney,,,,
101981-109,30-03-2023,None,None,3 + 1,                          150 m2                        ,2. Kat,20 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,16.000TL,Güney,,,,
36618-13326,28-03-2023,None,None,1 + 1,                          75 m2                        ,1. Kat,5 Yaşında,Kombi,6 Katlı,Eşyalı,1,,,Boş,,,,,20.000TL,,,,,
36618-13325,28-03-2023,None,None,2 + 1,                          95 m2                        ,5. Kat,25 Yaşında,Kombi,6 Katlı,,1,,,,,,,,30.000TL,,,,,
134149-19,28-03-2023,None,None,1 + 1,                          85 m2                        ,14. Kat,2 Yaşında,Merkezi (Pay Ölçer),18 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,20.000 TL,Doğalgaz,,10.000TL,,,,,
87689-1791,28-03-2023,None,None,2 + 1,                          90 m2                        ,4. Kat,17 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,150 TL,15.000 TL,Doğalgaz,Evet,13.500TL,"Doğu, Batı",,,,
123494-168,01-04-2023,None,None,2 + 1,                          80 m2                        ,Giriş Katı,9 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,270 TL,16.000 TL,Doğalgaz,Evet,8.250TL,"Güney, Doğu",Evet (Site Adı Belirtilmemiş),,,
3447-20192,01-04-2023,None,None,2 + 1,                          80 m2                        ,Bahçe Katı,10 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,9.500 TL,Doğalgaz,Evet,9.500TL,Güney,,,,
114578-1148,01-04-2023,None,None,2 + 1,                          90 m2                        ,2. Kat,40 Yaşında,Kombi,2 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,50 TL,20.000 TL,Doğalgaz,Evet,9.750TL,"Güney, Batı",,,,
1999-4201,01-04-2023,None,None,1 + 1,                          65 m2                        ,Bahçe Katı,5 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,130 TL,18.000 TL,Doğalgaz,Evet,9.000TL,Güney,,,,
29114-1038,01-04-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,50 Yaşında,Kombi,6 Katlı,Eşyalı,1,,,Boş,80 TL,20.000 TL,Doğalgaz,,20.000TL,,,,,
0-40566565,01-04-2023,None,None,2 + 1,                          110 m2                        ,Giriş Katı,40 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,250 TL,34.000 TL,Doğalgaz,,34.000TL,Kuzey,,,,
3982-2144,01-04-2023,None,None,3 + 3,                          145 m2                        ,3. Kat,35 Yaşında,Merkezi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,20.000 TL,Doğalgaz,Evet,20.000TL,Güney,,,,
38568-7212,01-04-2023,None,None,2 + 1,                          100 m2                        ,4. Kat,39 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,7.500 TL,Doğalgaz,Evet,7.500TL,"Güney, Doğu",,,,
19730-2306,01-04-2023,None,None,3 + 1,                          145 m2                        ,13. Kat,15 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,500 TL,23.000 TL,Doğalgaz,Evet,11.500TL,"Güney, Batı",,,,
19394-6000,01-04-2023,None,None,2 + 1,                          125 m2                        ,Ara Kat,6 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,14.000 TL,Doğalgaz,Evet,700TL,Güney,,,,
26312-2488,01-04-2023,None,None,2 + 1,                          75 m2                        ,1. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,11.000 TL,Doğalgaz,Evet,11.000TL,Güney,,,,
65108-2366,01-04-2023,None,None,3 + 1,                          110 m2                        ,4. Kat,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Güney",,,,
71877-1059,01-04-2023,None,None,1 + 1,                          60 m2                        ,1. Kat,60 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,,10.000TL,"Doğu, Batı",,,,
136567-18,01-04-2023,None,None,2 + 1,                          95 m2                        ,Yüksek Giriş,10 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,14.000 TL,Doğalgaz,Evet,7.000TL,"Güney, Doğu, Batı",,,,
108822-270,01-04-2023,None,None,2 + 1,                          90 m2                        ,Bahçe Katı,27 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,30 TL,6.500 TL,Doğalgaz,Evet,6.500TL,,,,Kat İrtifakı,
81494-557,01-04-2023,None,None,3 + 1,                          140 m2                        ,2. Kat,15 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,15.000TL,,,,,
65108-2365,01-04-2023,None,None,2 + 1,                          85 m2                        ,3. Kat,6 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Güney",,,,
71576-6492,01-04-2023,None,None,3 + 1,                          130 m2                        ,3. Kat,17 Yaşında,Kombi,4 Katlı,Eşyalı,1,,,Mülk Sahibi,,,,Evet,16.000TL,Güney,,,,
15268-871,01-04-2023,None,None,2 + 1,                          85 m2                        ,Yüksek Giriş,45 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,12.000 TL,Doğalgaz,Evet,12.000TL,"Güney, Doğu, Batı",,,,
2312-23259,01-04-2023,None,None,4 + 1,                          200 m2                        ,2. Kat,25 Yaşında,Merkezi,7 Katlı,,1,Betonarme,İkinci El,Boş,,,,,35.000TL,"Kuzey, Güney, Doğu, Batı",,,,
134905-160,01-04-2023,None,None,3 + 1,                          175 m2                        ,1. Kat,Sıfır Bina,Kombi,11 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,2 TL,Doğalgaz,,23.000TL,,,,,
1924-11223,01-04-2023,None,None,2 + 1,                          105 m2                        ,Ara Kat,12 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,250 TL,25.000 TL,Doğalgaz,Evet,25.000TL,Doğu,,,,
62823-5786,01-04-2023,None,None,5 + 2,                          230 m2                        ,11. Kat,5 Yaşında,Kombi,11 Katlı,Eşyalı Değil,4,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,80.000TL,"Güney, Doğu",,,,
136981-8,01-04-2023,None,None,3 + 1,                          150 m2                        ,3. Kat,26 Yaşında,Merkezi,9 Katlı,Eşyalı,1,,,Boş,,,,,30.000TL,"Kuzey, Doğu",,Uygun değil,,
20751-27008,01-04-2023,None,None,2 + 1,                          75 m2                        ,5. Kat,11 Yaşında,Kombi,11 Katlı,Eşyalı Değil,1,,Betonarme,Kiracılı,540 TL,,Doğalgaz,,14.500TL,"Kuzey, Doğu",,,,Hayır
77474-2220,01-04-2023,None,None,3 + 1,                          120 m2                        ,4. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,9.000 TL,Doğalgaz,Evet,9.000TL,Doğu,,,,
0-40564316,01-04-2023,None,None,2 + 1,                          90 m2                        ,Bahçe Katı,7 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,2.600 TL,60.800 TL,Doğalgaz,,32.000TL,Güney,"Bengisu Konakları (İstanbul, Beykoz, Soğuksu)",,,
81705-10730,01-04-2023,None,None,1 + 1,                          70 m2                        ,2. Kat,27 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,7.750TL,"Kuzey, Güney",,,,
136928-32,01-04-2023,None,None,2 + 1,                          88 m2                        ,9. Kat,3 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Eşyalı,1,,,Boş,250 TL,,,,18.000TL,"Güney, Doğu, Batı",,Uygun değil,,
134549-210,01-04-2023,None,None,1 + 1,                          50 m2                        ,Yüksek Giriş,7 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,8.500TL,Güney,,,,
76366-71,01-04-2023,None,None,2 + 1,                          90 m2                        ,Bahçe Katı,15 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,6.500 TL,Doğalgaz,Evet,6.500TL,"Güney, Doğu",,,,
130884-131,01-04-2023,None,None,1 + 1,                          55 m2                        ,3. Kat,5 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,250 TL,12.250 TL,Doğalgaz,Evet,12.250TL,Doğu,,,,
116955-4189,01-04-2023,None,None,3 + 1,                          120 m2                        ,2. Kat,36 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,930 TL,44.000 TL,Doğalgaz,Evet,22.000TL,"Güney, Batı",,,,
61956-3712,01-04-2023,None,None,1 + 1,                          55 m2                        ,Yüksek Giriş,6 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,6.500TL,Güney,,,,
65982-1936,01-04-2023,None,None,2 + 1,                          85 m2                        ,2. Kat,Sıfır Bina,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,800 TL,45.000 TL,Doğalgaz,Evet,23.000TL,"Güney, Doğu",,,,
1158-2382,01-04-2023,None,None,3 + 1,                          130 m2                        ,8. Kat,25 Yaşında,Merkezi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Doğu",,,,
136991-30,01-04-2023,None,None,3 + 1,                          150 m2                        ,1. Kat,11 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,,,Boş,,,,,13.000TL,"Güney, Batı",Evet (Site Adı Belirtilmemiş),Uygun değil,,
23474-33463,31-03-2023,None,None,2 + 1,                          100 m2                        ,10. Kat,35 Yaşında,Merkezi,10 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,12.500TL,,,,,
135400-69,01-04-2023,None,None,4 + 1,                          215 m2                        ,8. Kat,Sıfır Bina,Yerden Isıtma,15 Katlı,Eşyalı Değil,3,Betonarme,Sıfır,Boş,1 TL,60.000 TL,Doğalgaz,Evet,30.000TL,"Güney, Doğu, Batı",,,,
76342-6027,01-04-2023,None,None,3 + 1,                          120 m2                        ,1. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Doğu",,,,
31470-1119,01-04-2023,None,None,4 + 1,                          210 m2                        ,11. Kat,5 Yaşında,Kombi,16 Katlı,Eşyalı,2,,,Boş,,,,,60.000TL,"Güney, Doğu, Batı",,Uygun değil,,
123231-67,31-03-2023,None,None,2 + 1,                          100 m2                        ,4. Kat,31 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Eşyalı Değil,1,,,Boş,700 TL,,,,17.500TL,,,Uygun değil,,
129689-172,01-04-2023,None,None,2 + 1,                          117 m2                        ,21 ve üzeri,10 Yaşında,Merkezi (Pay Ölçer),40 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,45.000TL,Güney,,,,
90410-1641,31-03-2023,None,None,1 + 1,                          65 m2                        ,4. Kat,4 Yaşında,Merkezi (Pay Ölçer),21 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,28.000 TL,Doğalgaz,Evet,14.000TL,Güney,Çukurova Balkon Rezidans,,,
126170-477,01-04-2023,None,None,4 + 1,                          170 m2                        ,3. Kat,Sıfır Bina,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,400 TL,,Doğalgaz,Evet,15.000TL,Güney,,,,
44577-1574,01-04-2023,None,None,2 + 1,                          100 m2                        ,2. Kat,5 Yaşında,Kombi,17 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,1.500 TL,36.000 TL,Doğalgaz,Evet,18.000TL,,full ada sitesi ,,,
22543-3413,01-04-2023,None,None,2 + 1,                          70 m2                        ,Giriş Katı,12 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,40.000 TL,Doğalgaz,Evet,20.000TL,Doğu,,,,
46376-2318,01-04-2023,None,None,1 + 1,                          75 m2                        ,Bahçe Katı,8 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,30 TL,2 TL,Doğalgaz,Evet,9.250TL,"Güney, Doğu, Batı",,,,
2216-6136,01-04-2023,None,None,4 + 1,                          300 m2                        ,Bahçe Katı,10 Yaşında,Kombi,2 Katlı,Eşyalı Değil,4,Betonarme,,Boş,,,Doğalgaz,Evet,130.000TL,Güney,,,,
22752-15957,01-04-2023,None,None,4 + 1,                          288 m2                        ,Bahçe Katı,9 Yaşında,Kombi,3 Katlı,Eşyalı Değil,3,Betonarme,,Mülk Sahibi,,,Doğalgaz,Evet,85.000TL,,Antorman Sitesi,,,
135058-46,01-04-2023,None,None,3 + 1,                          130 m2                        ,9. Kat,4 Yaşında,Kombi,10 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,2 TL,Doğalgaz,Evet,38.500TL,Batı,,,,
65405-650,01-04-2023,None,None,4 + 1,                          180 m2                        ,5. Kat,50 Yaşında,Merkezi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.650 TL,56.000 TL,Doğalgaz,Evet,28.000TL,"Güney, Batı",,,,
101492-451,01-04-2023,None,None,3 + 1,                          110 m2                        ,3. Kat,36 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,8.000 TL,Doğalgaz,Evet,8.000TL,,,,,
2525-15790,01-04-2023,None,None,1 + 0,                          59 m2                        ,2. Kat,8 Yaşında,Merkezi (Pay Ölçer),22 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,29.500 TL,Doğalgaz,Evet,14.000TL,,,,,
1120-2253,01-04-2023,None,None,3 + 1,                          145 m2                        ,Yüksek Giriş,30 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,450 TL,35.000 TL,Doğalgaz,Evet,32.000TL,,,,,
115060-622,01-04-2023,None,None,3 + 1,                          130 m2                        ,Yüksek Giriş,21 Yaşında,Merkezi,20 Katlı,Eşyalı Değil,2,,,Boş,,,,,21.000TL,Batı,,,,
106678-965,01-04-2023,None,None,3 + 1,                          165 m2                        ,En Üst Kat,25 Yaşında,Kombi,15 Katlı,,1,Betonarme,,Mülk Sahibi,500 TL,,Doğalgaz,Evet,13.000TL,"Güney, Doğu, Batı",,,,
35850-3452,01-04-2023,None,None,2 + 1,                          80 m2                        ,3. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,7.000 TL,Doğalgaz,Evet,7.000TL,Doğu,,,,
17780-18768,01-04-2023,None,None,4 + 1,                          240 m2                        ,3. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,42.000TL,"Güney, Doğu",,,,
5630-6146,01-04-2023,None,None,1 + 0,                          40 m2                        ,3. Kat,10 Yaşında,Kombi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,5.800TL,Doğu,Dumankaya Adres,,,
1625-8657,01-04-2023,None,None,3 + 1,                          135 m2                        ,8. Kat,48 Yaşında,Merkezi,8 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,1.500 TL,96.000 TL,Doğalgaz,Evet,32.000TL,"Güney, Doğu, Batı",,,,
120093-31,01-04-2023,None,None,2 + 1,                          85 m2                        ,2. Kat,31 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,,,,,38.500TL,"Doğu, Batı",,,,
