İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
50569-5007,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,32 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,,,,,,
136926-9,30-03-2023,None,None,3 + 1,"
                          147 m2
                        ",17. Kat,7 Yaşında,Merkezi,29 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1 TL,Doğalgaz,Evet,Güney,Emlak Konut Başakşehir Evleri,4.000 TL,,,
136321-1,28-03-2023,None,None,2 + 1,"
                          120 m2
                        ",Giriş Katı,20 Yaşında,Kombi,3 Katlı,Eşyalı,1,Taş Bina,İkinci El,Boş,100 TL,Doğalgaz,Evet,,,25.000 TL,,,
136782-6,24-03-2023,None,None,2 + 1,"
                          115 m2
                        ",4. Kat,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,Elektrik,Evet,"Kuzey, Güney, Batı",Genyap 7000 Kağıthane,,,,
124862-173,24-03-2023,None,None,3 + 1,"
                          150 m2
                        ",4. Kat,1 Yaşında,Kombi,5 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Güney, Doğu",,68.000 TL,,,
110767-162,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Giriş Katı,25 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Doğu,Yonca Sitesi,14.000 TL,,,
2312-23070,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Yüksek Giriş,11 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,750 TL,Doğalgaz,Evet,"Kuzey, Doğu",,20.000 TL,,,
2608-4275,28-03-2023,None,None,7 + 1,"
                          320 m2
                        ",4. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,,Mülk Sahibi,1.500 TL,Doğalgaz,,"Güney, Doğu, Batı",,473.800 TL,,,
136567-14,31-03-2023,None,None,3 + 1,"
                          180 m2
                        ",14. Kat,Sıfır Bina,Yerden Isıtma,17 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",Evet (Site Adı Belirtilmemiş),60.000 TL,,,
128054-180,31-03-2023,None,None,2 + 1,"
                          120 m2
                        ",2. Kat,22 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,22.000 TL,,,
6712-1381,31-03-2023,None,None,1 + 1,"
                          110 m2
                        ",5. Kat,40 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Doğu,,23.000 TL,,,
129657-234,31-03-2023,None,None,3 + 1,"
                          150 m2
                        ",4. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,İkinci El,Boş,60 TL,Doğalgaz,Evet,"Doğu, Batı",,8.500 TL,,,
